Time (ns),Ez (V/m)
0.0,-2.3537082360279016e-08
0.1430615164520744,1.3155713900302147e-09
0.2861230329041488,-1.1585903294845975e-09
0.4291845493562232,1.2061814794938805e-09
0.5722460658082976,-1.2264651858084619e-09
0.715307582260372,1.199796931541662e-09
0.8583690987124464,-1.1291349023742204e-09
1.001430615164521,1.0212537916910164e-09
1.1444921316165952,-8.838137960659197e-10
1.2875536480686696,7.247443666313268e-10
1.430615164520744,-5.520052062727129e-10
1.5736766809728184,3.733900416931971e-10
1.7167381974248928,-1.9632261598244323e-10
1.8597997138769673,2.7649521320082324e-11
2.002861230329042,1.2655639692865914e-10
2.145922746781116,-2.6116903018238217e-10
2.2889842632331905,3.7214800565254134e-10
2.432045779685265,-4.5663619421824013e-10
2.575107296137339,5.130110072260379e-10
2.718168812589414,-5.408873926550813e-10
2.861230329041488,5.410728947715678e-10
3.0042918454935625,-5.154773983925333e-10
3.147353361945637,4.669821860206448e-10
3.290414878397711,-3.9927464922018793e-10
3.4334763948497855,3.1665636405022456e-10
3.5765379113018603,-2.2383322488473526e-10
3.7195994277539346,1.2569690561145734e-10
3.862660944206009,-2.7107069956927464e-11
4.005722460658084,-6.731651139100551e-11
4.148783977110158,1.5338343697191908e-10
4.291845493562232,-2.274962581343257e-10
4.434907010014307,2.867820012558972e-10
4.577968526466381,-3.29187015698621e-10
4.721030042918455,3.5353225368857693e-10
4.86409155937053,-3.595278956067904e-10
5.007153075822604,3.4774804023843866e-10
5.150214592274678,-3.1956791425794664e-10
5.293276108726753,2.770676329378665e-10
5.436337625178828,-2.2290790796164595e-10
5.579399141630902,1.601841832676459e-10
5.722460658082976,-9.226645291482508e-11
5.865522174535051,2.263244007770479e-11
6.008583690987125,4.529811072380547e-11
6.151645207439199,-1.0832055291401231e-10
6.294706723891274,1.6358700278125525e-10
6.437768240343348,-2.087265834215159e-10
6.580829756795422,2.4193942662546906e-10
6.723891273247497,-2.6206095563257824e-10
6.866952789699571,2.685944165782147e-10
7.010014306151646,-2.6171115874930795e-10
7.1530758226037205,2.4221964091065856e-10
7.296137339055795,-2.1150557008976054e-10
7.439198855507869,1.7144683408200305e-10
7.5822603719599435,-1.2430795614801765e-10
7.725321888412018,7.261962045348774e-11
7.868383404864092,-1.9049350379380518e-11
8.011444921316167,-3.373032602192272e-11
